엔터티명	테이블명	속성명	컬럼명	도메인	데이터타입	키	널허용	기본값	주석
일정	SCHEDULE	시작일	SCHD_START	기본날짜	DATE		Not Null	sysdate	
일정	SCHEDULE	종료일	SCHD_END	기본날짜	DATE		Not Null	sysdate	
일정	SCHEDULE	아파트코드	APT_CODE	아파트코드	VARCHAR2(5)	FK			
수선신청	AFTERSERVICE	수선신청글번호	AS_NO	순서	NUMBER(10)	PK	Not Null		
수선신청	AFTERSERVICE	수선분류코드	AS_CODE	코드	VARCHAR2(15)		Not Null		
수선신청	AFTERSERVICE	접수상태코드	AS_STATUS	코드	VARCHAR2(15)		Not Null		
수선신청	AFTERSERVICE	사용자 코드	MEM_ID	코드	VARCHAR2(15)	FK	Not Null		
수선신청	AFTERSERVICE	제목	AS_TITLE	긴이름	VARCHAR2(50 CHAR)		Not Null		
수선신청	AFTERSERVICE	내용	AS_CONTENT	내용	CLOB		Not Null		
푸시알림	PUSH	푸시알림번호	PUSH_NO	순서	NUMBER(10)	PK	Not Null		
푸시알림	PUSH	받는사람	PUSH_TO	코드	VARCHAR2(15)		Not Null		
푸시알림	PUSH	푸시내용	PUSH_CONTENT	단문	VARCHAR2(50 char)		Not Null		
푸시알림	PUSH	일자	PUSH_DATE	기본날짜	DATE		Not Null	sysdate	
푸시알림	PUSH	확인여부	PUSH_YN	플래그	CHAR(1)		Not Null		
공통코드명	CODENAME	CODE	CODE	코드	VARCHAR2(15)	PK	Not Null		
용역계약내역	SERVICECONTRACT	용역업체ID	SVC_ID	코드	VARCHAR2(15)	PFK	Not Null		
용역계약내역	SERVICECONTRACT	계약시작일	SVC_START	날짜	DATE	PK	Not Null		
용역계약내역	SERVICECONTRACT	계약만료일	SVC_END	날짜	DATE	PK	Not Null		
용역계약내역	SERVICECONTRACT	계약금	SVC_DEPOSIT	금액	NUMBER(20)		Not Null		
용역계약내역	SERVICECONTRACT	아파트코드	APT_CODE	아파트코드	VARCHAR2(5)	FK	Not Null		
사용자	MEMBER	사용자 코드	MEM_ID	코드	VARCHAR2(15)	PK	Not Null		
사용자	MEMBER	사용자비밀번호	MEM_PASS	비밀번호	VARCHAR2(200)		Not Null		
사용자	MEMBER	사용자분류	MEM_ROLE	코드	VARCHAR2(15)		Not Null		
사용자	MEMBER	회원탈퇴여부	MEM_DELETE	플래그	CHAR(1)		Not Null		
용역파일게시판	SERVICEFILE	용역파일번호	SVC_FILE_NO	순서	NUMBER(10)	PK	Not Null		
용역파일게시판	SERVICEFILE	용역업체ID	SVC_ID	코드	VARCHAR2(15)	FK	Not Null		
용역파일게시판	SERVICEFILE	제목	SVC_TITLE	긴이름	VARCHAR2(50 CHAR)		Not Null		
용역파일게시판	SERVICEFILE	원본파일명	SVC_FILENAME	파일저장명	VARCHAR2(50)		Not Null		
용역파일게시판	SERVICEFILE	첨부파일	SVC_FILE	첨부파일	BLOB		Not Null		
용역파일게시판	SERVICEFILE	파일등록일	SVC_DATE	기본날짜	DATE		Not Null	sysdate	
용역파일게시판	SERVICEFILE	파일확장자명	SVC_MIME	이름	VARCHAR2(15)		Not Null		
용역파일게시판	SERVICEFILE	파일크기	SVC_FILESIZE	파일크기	NUMBER(10)		Not Null		
용역파일게시판	SERVICEFILE	파일팬시크기	SVC_FANCY	이름	VARCHAR2(15)				
계산/비율	FARERATE	가격/비율ID	FR_ID	코드	VARCHAR2(15)	PK	Not Null		
계산/비율	FARERATE	가격/비율값	FR	계산	"NUMBER(10,3)"		Not Null		
계산/비율	FARERATE	가격/비율설명	FR_CONTENT	단문	VARCHAR2(50 char)		Not Null		
계산/비율	FARERATE	계산방법	FR_HOWTO	장문	VARCHAR2(200 char)				
